"last_name, first_name","player_id","year","player_age","p_formatted_ip","pa","ab","hit","strikeout","walk","k_percent","bb_percent","batting_avg","babip","p_pickoff_attempt_1b","p_pickoff_1b","p_gnd_into_dp","p_hit_by_pitch","xba","xbadiff"
"Wainwright, Adam","425794","2022","40","191.2","803","736","192","143","54",17.8,6.7,".261",".302","60","0","21","7",".270","-0.009"
"Greinke, Zack","425844","2022","38","137.0","585","549","157","73","27",12.5,4.6,".286",".306","45","2","14","3",".284",".002"
"Verlander, Justin","434378","2022","39","175.0","666","625","116","185","29",27.8,4.4,".186",".240","72","0","9","6",".207","-0.021"
"Kluber, Corey","446372","2022","36","164.0","689","650","178","139","21",20.2,3,".274",".318","44","0","10","10",".261",".013"
"Hill, Rich","448179","2022","42","124.1","526","484","125","109","37",20.7,7,".258",".305","33","1","10","4",".240",".018"
"Morton, Charlie","450203","2022","38","172.0","728","640","149","205","63",28.2,8.7,".233",".293","85","3","18","18",".228",".005"
"Scherzer, Max","453286","2022","37","145.1","565","523","108","173","24",30.6,4.2,".207",".279","18","0","11","11",".202",".005"
"Cueto, Johnny","456501","2022","36","158.1","651","604","161","102","33",15.7,5.1,".267",".296","50","1","22","6",".263",".004"
"Lynn, Lance","458681","2022","35","121.2","512","481","119","124","19",24.2,3.7,".247",".294","22","0","7","10",".243",".004"
"Carrasco, Carlos","471911","2022","35","152.0","645","593","161","152","41",23.6,6.4,".272",".338","52","1","19","8",".253",".019"
"Kershaw, Clayton","477132","2022","34","126.1","493","465","96","137","23",27.8,4.7,".206",".269","34","2","9","2",".212","-0.006"
"Quintana, Jose","500779","2022","33","165.2","679","626","154","137","47",20.2,6.9,".246",".303","87","1","24","3",".257","-0.011"
"Minor, Mike","501985","2022","34","98.0","455","405","120","76","40",16.7,8.8,".296",".312","28","0","8","7",".256",".040"
"Archer, Chris","502042","2022","33","102.2","437","381","87","84","48",19.2,11,".228",".260","13","0","11","3",".260","-0.032"
"Gibson, Kyle","502043","2022","34","167.2","718","656","176","144","48",20.1,6.7,".268",".309","78","2","18","9",".262",".006"
"Cobb, Alex","502171","2022","34","149.2","631","580","152","151","43",23.9,6.8,".262",".338","60","1","16","3",".234",".028"
"Espino, Paolo","502179","2022","35","113.1","487","456","131","92","24",18.9,4.9,".287",".310","35","0","8","2",".271",".016"
"Darvish, Yu","506433","2022","35","194.2","771","715","148","197","37",25.6,4.8,".207",".251","79","0","11","12",".226","-0.019"
"Bumgarner, Madison","518516","2022","32","158.2","698","637","179","112","49",16,7,".281",".307","44","2","14","9",".276",".005"
"Kelly, Merrill","518876","2022","33","200.1","804","739","167","177","61",22,7.6,".226",".269","118","4","20","2",".230","-0.004"
"Pérez, Martín","527048","2022","31","196.1","821","738","178","169","69",20.6,8.4,".241",".298","26","1","23","6",".241",".000"
"Anderson, Tyler","542881","2022","32","178.2","707","657","145","138","34",19.5,4.8,".221",".257","68","1","20","9",".225","-0.004"
"Cole, Gerrit","543037","2022","31","200.2","793","738","154","257","50",32.4,6.3,".209",".269","58","0","13","2",".214","-0.005"
"Eovaldi, Nathan","543135","2022","32","109.1","460","435","115","103","20",22.4,4.3,".264",".300","29","0","11","1",".258",".006"
"Gray, Sonny","543243","2022","32","119.2","488","441","99","117","36",24,7.4,".224",".278","28","1","9","6",".240","-0.016"
"Lyles, Jordan","543475","2022","31","179.0","774","710","196","144","52",18.6,6.7,".276",".313","104","0","19","8",".267",".009"
"Odorizzi, Jake","543606","2022","32","106.1","453","411","106","86","35",19,7.7,".258",".293","45","1","6","3",".255",".003"
"Lorenzen, Michael","547179","2022","30","97.2","411","362","81","85","44",20.7,10.7,".224",".262","39","0","14","4",".233","-0.009"
"Stripling, Ross","548389","2022","32","134.1","536","511","117","111","20",20.7,3.7,".229",".269","23","0","7","2",".251","-0.022"
