"last_name, first_name","player_id","year","ab","batting_avg","b_game"
"Cruz Jr., Nelson","443558","2022","448",".234","124"
"Blackmon, Charlie","453568","2022","530",".264","135"
"McCutchen, Andrew","457705","2022","515",".237","134"
"Turner, Justin","457759","2022","468",".278","128"
"Andrus, Elvis","462101","2022","535",".249","149"
"Santana, Carlos","467793","2022","431",".202","131"
"Gurriel, Yuli","493329","2022","545",".242","146"
"Rojas, Miguel","500743","2022","471",".236","140"
"Escobar, Eduardo","500871","2022","495",".240","136"
"Pham, Tommy","502054","2022","554",".236","144"
"Martinez, J.D.","502110","2022","533",".274","139"
"Goldschmidt, Paul","502671","2022","561",".317","151"
"Altuve, Jose","514888","2022","527",".300","141"
"Hernández, César","514917","2022","560",".248","147"
"Marte, Starling","516782","2022","466",".292","118"
"Donaldson, Josh","518626","2022","478",".222","132"
"Freeman, Freddie","518692","2022","612",".325","159"
"LeMahieu, DJ","518934","2022","467",".261","125"
"Rizzo, Anthony","519203","2022","465",".224","130"
"Flores, Wilmer","527038","2022","525",".229","151"
"Ozuna, Marcell","542303","2022","470",".226","124"
"Aguilar, Jesús","542583","2022","464",".235","129"
"Cron, C.J.","543068","2022","575",".257","150"
"Semien, Marcus","543760","2022","657",".248","161"
"Springer III, George","543807","2022","513",".267","133"
"Grichuk, Randal","545341","2022","506",".259","140"
"Abreu, José","547989","2022","601",".304","157"
"Suárez, Eugenio","553993","2022","543",".236","150"
"Urshela, Gio","570482","2022","501",".285","144"
"Schoop, Jonathan","570731","2022","481",".202","131"
"Arenado, Nolan","571448","2022","557",".293","148"
"Farmer, Kyle","571657","2022","526",".255","145"
"Muncy, Max","571970","2022","464",".196","136"
"Pollock, AJ","572041","2022","489",".245","138"
"Voit III, Luke","572228","2022","500",".226","135"
"Walker, Christian","572233","2022","583",".242","160"
"Yastrzemski, Mike","573262","2022","485",".214","148"
"Canha, Mark","592192","2022","462",".266","140"
"Castellanos, Nick","592206","2022","524",".263","136"
"Drury, Brandon","592273","2022","518",".263","138"
"Judge, Aaron","592450","2022","570",".311","157"
"Machado, Manny","592518","2022","578",".298","150"
"Realmuto, J.T.","592663","2022","504",".276","139"
"Renfroe, Hunter","592669","2022","474",".255","125"
"Yelich, Christian","592885","2022","575",".252","154"
"Merrifield, Whit","593160","2022","504",".250","139"
"Bogaerts, Xander","593428","2022","557",".307","150"
"Profar, Jurickson","595777","2022","575",".243","152"
"Báez, Javier","595879","2022","555",".238","144"
"Lindor, Francisco","596019","2022","630",".270","161"
"Bell, Josh","605137","2022","552",".266","156"
"Betts, Mookie","605141","2022","572",".269","142"
"Hernández, Teoscar","606192","2022","499",".267","131"
"Marte, Ketel","606466","2022","492",".240","137"
"Nimmo, Brandon","607043","2022","580",".274","151"
"Turner, Trea","607208","2022","652",".298","160"
"Ramírez, José","608070","2022","601",".280","157"
"Bregman, Alex","608324","2022","548",".259","155"
"Seager, Corey","608369","2022","593",".245","151"
"Winker, Jesse","608385","2022","456",".219","136"
"Swanson, Dansby","621020","2022","640",".277","162"
"Correa, Carlos","621043","2022","522",".291","136"
"Ward, Taylor","621493","2022","495",".281","135"
"Wisdom, Patrick","621550","2022","469",".207","134"
"Olson, Matt","621566","2022","616",".240","162"
"Mateo, Jorge","622761","2022","494",".221","150"
"Santander, Anthony","623993","2022","574",".240","152"
"Alonso, Pete","624413","2022","597",".271","160"
"Frazier, Adam","624428","2022","541",".238","156"
"Cronenworth, Jake","630105","2022","587",".239","158"
"Bellinger, Cody","641355","2022","504",".210","144"
"Crawford, J.P.","641487","2022","518",".243","145"
"Mancini III, Trey","641820","2022","519",".239","143"
"McMahon, Ryan","641857","2022","529",".246","153"
"Tellez, Rowdy","642133","2022","529",".219","153"
"Rosario, Amed","642708","2022","637",".283","153"
"Adames, Willy","642715","2022","563",".238","139"
"Estrada, Thairo","642731","2022","488",".260","140"
"Benintendi, Andrew","643217","2022","461",".304","126"
"Kemp, Tony","643393","2022","497",".235","147"
"Kiner-Falefa, Isiah","643396","2022","483",".261","142"
"McNeil, Jeff","643446","2022","533",".326","148"
"Devers, Rafael","646240","2022","555",".295","141"
"Arraez, Luis","650333","2022","547",".316","144"
"Torres, Gleyber","650402","2022","526",".257","140"
"Díaz, Yandy","650490","2022","473",".296","137"
"Rengifo, Luis","650859","2022","489",".264","127"
"Chapman, Matt","656305","2022","538",".229","155"
"Hoskins, Rhys","656555","2022","589",".246","156"
"Mullins II, Cedric","656775","2022","608",".258","156"
"Schwarber, Kyle","656941","2022","577",".218","155"
"Thomas, Lane","657041","2022","498",".241","146"
