"last_name, first_name","player_id","year","p_formatted_ip","hit"
"Wainwright, Adam","425794","2022","191.2","192"
"Greinke, Zack","425844","2022","137.0","157"
"Verlander, Justin","434378","2022","175.0","116"
"Kluber, Corey","446372","2022","164.0","178"
"Hill, Rich","448179","2022","124.1","125"
"Morton, Charlie","450203","2022","172.0","149"
"Scherzer, Max","453286","2022","145.1","108"
"Cueto, Johnny","456501","2022","158.1","161"
"Lynn, Lance","458681","2022","121.2","119"
"Carrasco, Carlos","471911","2022","152.0","161"
"Quintana, Jose","500779","2022","165.2","154"
"Gibson, Kyle","502043","2022","167.2","176"
"Cobb, Alex","502171","2022","149.2","152"
"Darvish, Yu","506433","2022","194.2","148"
"Bumgarner, Madison","518516","2022","158.2","179"
"Kelly, Merrill","518876","2022","200.1","167"
"Pérez, Martín","527048","2022","196.1","178"
"Anderson, Tyler","542881","2022","178.2","145"
"Cole, Gerrit","543037","2022","200.2","154"
"Lyles, Jordan","543475","2022","179.0","196"
"Stripling, Ross","548389","2022","134.1","117"
"Wheeler, Zack","554430","2022","153.0","125"
"Corbin, Patrick","571578","2022","152.2","210"
"Mikolas, Miles","571945","2022","202.1","170"
"Stroman, Marcus","573186","2022","138.2","123"
"Gausman, Kevin","592332","2022","174.2","188"
"Gray, Jon","592351","2022","127.1","105"
"Ray, Robbie","592662","2022","189.0","163"
"Syndergaard, Noah","592789","2022","134.2","138"
"Taillon, Jameson","592791","2022","177.1","168"
"Walker, Taijuan","592836","2022","157.1","143"
"Montas, Frankie","593423","2022","144.1","137"
"Gonzales, Marco","594835","2022","183.0","194"
"Gomber, Austin","596295","2022","124.2","137"
"Pivetta, Nick","601713","2022","179.2","175"
"Bassitt, Chris","605135","2022","181.2","159"
"Bundy, Dylan","605164","2022","140.0","151"
"Davies, Zach","605200","2022","134.1","122"
"Musgrove, Joe","605397","2022","181.0","154"
"Nola, Aaron","605400","2022","205.0","168"
"Snell, Blake","605483","2022","128.0","103"
"Springs, Jeffrey","605488","2022","135.1","114"
"Thompson, Zach","605507","2022","121.2","138"
"Woodruff, Brandon","605540","2022","153.1","122"
"Rodón, Carlos","607074","2022","178.0","131"
"Fedde, Erick","607200","2022","127.0","149"
